SCHOOL CODE,COUNTY,PUB/ PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBE§,MMR1 ,2 MMR‡ 
6110779,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,BAY FARM ELEM.,65,0,1,64,64
6100374,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,EARHART (AMELIA) ELEM.,102,0,0,102,102
6090013,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,EDISON ELEM.,74,0,4,70,61
6090039,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,FRANKLIN ELEM.,50,0,1,49,49
6090047,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,HAIGHT ELEM.,50,0,0,50,49
6090005,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,LUM (DONALD D.) ELEM.,74,0,0,74,71
119222,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,36,0,0,35,35
6090021,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,OTIS (FRANK) ELEM.,96,0,3,93,89
6090120,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,PADEN ELEM.,50,0,0,50,50
111765,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,RUBY BRIDGES ELEMENTARY,100,0,1,96,89
6090104,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,WASHINGTON ELEM.,25,0,1,24,24
118489,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,BERKELEY,ASPIRE CALIFORNIA COLLEGE PREPARATORY ACADEMY,58,0,0,56,50
109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,155,0,22,130,109
123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,33,0,3,30,30
6090146,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,CORNELL ELEM.,75,0,6,68,68
6095376,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,MARIN ELEM.,75,0,6,69,68
6116222,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,OCEAN VIEW SCHOOL,124,0,1,122,112
6097729,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY ARTS MAGNET,63,0,2,61,61
6090195,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,CRAGMONT ELEM,62,0,2,59,59
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON PRIMARY,41,3,0,37,36
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON PRIMARY,60,0,0,60,58
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEM.,63,1,2,42,53
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LE CONTE ELEM.,58,0,1,57,47
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X,77,0,4,69,65
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD PRIMARY,62,1,2,58,49
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ELEMENTARY,64,0,5,58,58
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS PRIMARY,60,0,1,58,53
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEM.,84,0,0,82,70
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEM.,72,0,1,71,68
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEM.,69,0,4,65,64
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEM.,95,0,1,94,94
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEM.,72,0,0,71,67
6090401,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,MARSHALL ELEM.,73,0,1,71,65
6090419,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PALOMARES ELEM.,24,0,0,24,24
6090435,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PROCTOR ELEM.,76,0,2,74,73
6090468,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,STANTON ELEM.,71,0,3,68,67
6090484,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,VANNOY ELEM.,50,0,0,50,50
6118038,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DOUGHERTY ELEM.,118,1,1,115,110
6001374,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DUBLIN ELEM.,115,0,4,111,106
6001390,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,FREDERIKSEN ELEM.,116,0,0,116,110
123935,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,HAROLD WILLIAM KOLB,117,0,1,115,104
114579,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JOHN GREEN ELEMENTARY,117,0,2,112,97
6001424,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,MURRAY ELEM.,73,0,2,71,70
6090492,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,ANNA YATES ELEMENTARY,60,0,1,57,36
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEM.,112,0,0,112,90
6000681,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,AZEVEDA (JOSEPH) ELEM.,87,0,0,87,87
6000541,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BLACOW ELEM.,67,0,1,64,65
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEM.,112,0,0,112,112
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEM.,61,0,0,61,60
6000566,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CABRILLO ELEM.,82,0,0,82,68
6090526,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CHADBOURNE (JOSHUA) ELEM.,84,0,0,84,84
6000665,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,DURHAM (J. HALEY) ELEM.,56,0,0,56,55
6111330,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FOREST PARK ELEM.,112,0,0,111,109
6000624,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GLENMOOR ELEM.,87,0,1,86,82
6066468,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GOMES (JOHN M.) ELEM.,84,0,1,83,83
6000640,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GREEN (HARVEY) ELEM.,56,0,1,55,53
6000590,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GRIMMER (E. M.) ELEM.,60,0,0,60,60
6000764,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,HIRSCH (O. N.) ELEM.,65,0,1,64,60
6000673,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,LEITCH (JAMES) ELEM.,261,0,1,260,248
6000715,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MALONEY ELEM.,103,0,0,102,99
6000723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MATTOS ELEM.,78,0,0,78,71
6090559,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MILLARD (STEVEN) ELEM.,91,0,0,91,86
6090534,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION SAN JOSE ELEM.,56,0,0,56,56
6000749,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION VALLEY ELEM.,81,0,0,81,80
6000756,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,NILES ELEM.,84,0,4,80,77
6090542,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,OLIVEIRA ELEM.,133,0,4,129,129
6000798,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PARKMONT ELEM.,112,0,1,111,111
6000806,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PATTERSON ELEM.,96,0,0,96,85
6000830,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,VALLEJO MILL ELEM.,73,0,1,72,66
6089619,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WARWICK ELEM.,96,0,1,94,88
6106983,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WEIBEL ELEM.,104,0,1,103,101
6000889,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BOWMAN ELEM.,79,0,0,76,70
6000905,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BURBANK ELEM.,114,0,1,113,113
6000913,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,CHERRYLAND ELEM.,120,0,0,120,110
6000921,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EAST AVE. ELEM.,81,0,1,80,76
6001051,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EDEN (LORIN A.) ELEM.,67,0,0,67,65
6090583,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EDEN GARDENS ELEM.,82,0,0,81,77
6000947,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,ELDRIDGE ELEM.,87,0,0,86,85
6000962,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAIRVIEW ELEM.,74,0,1,73,70
6113815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAITH RINGGOLD ELEM.,18,0,1,17,17
6000988,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,GLASSBROOK ELEM.,112,0,0,112,106
6000996,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,HARDER ELEM.,85,0,0,82,78
6001044,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LONGWOOD ELEM.,104,0,0,102,99
6001093,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PALMA CEIA ELEM.,77,0,0,77,73
6001101,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PARK ELEM.,101,0,0,99,93
6001127,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,RUUS ELEM.,92,0,0,90,89
6001135,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SCHAFER PARK ELEM.,61,0,0,61,60
6001176,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SOUTHGATE ELEM.,79,0,0,78,76
111815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,STONEBRAE ELEMENTARY,108,0,0,108,104
6062160,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,STROBRIDGE ELEM.,112,0,0,107,102
6001192,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TREEVIEW ELEM.,94,0,0,94,93
6104566,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TYRRELL ELEMENTARY,94,0,0,94,87
6117543,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ALTAMONT CREEK ELEM.,94,0,1,93,93
6071906,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ARROYO SECO ELEM.,129,0,0,129,123
6110332,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,CROCE (LEO) ELEM.,98,0,2,96,95
6001283,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JACKSON AVE. ELEM.,112,0,3,109,108
6001234,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JUNCTION K-8,75,0,1,74,74
6001317,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,MARYLIN AVE. ELEM.,95,0,1,94,94
6001291,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,MITCHELL (JOE) ELEM.,71,1,3,67,64
6089338,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,RANCHO LAS POSITAS ELEM.,78,0,0,78,78
6001259,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,SMITH (EMMA C.) ELEM.,124,0,0,124,124
6097661,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,SUNSET ELEM.,133,1,7,125,125
6001606,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,HAYWARD,HILLVIEW CREST ELEM.,98,0,0,98,92
6001572,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,ALVARADO ELEM.,138,0,0,138,120
6089346,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,CABELLO STUDENT SUPPORT CENTER,49,0,0,49,39
6118525,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,DELAINE EASTIN ELEMENTARY,129,0,0,129,122
6115554,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,EMANUELE (GUY JR.) ELEMENTARY,114,0,1,113,101
6115505,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,KITAYAMA (TOM) ELEMENTARY,134,0,0,134,128
6101604,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,PIONEER ELEM.,115,1,0,114,110
6001622,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,SEARLES ELEM.,132,0,0,132,123
6001499,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,BUNKER (JAMES L.) ELEM.,87,2,0,85,85
6001481,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,GRAHAM (JAMES A.) ELEM.,58,0,0,58,58
6001507,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,KENNEDY (JOHN F.) ELEM.,58,0,3,55,55
6001523,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,LINCOLN ELEM.,58,0,0,58,58
6001531,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,MILANI (LOUIS) ELEM.,60,0,0,60,60
6001457,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,MUSICK (E. L.) ELEM.,63,1,0,62,55
6001440,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,SCHILLING (AUGUST) ELEM.,87,0,1,86,81
6001473,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,SNOW (H. A.) ELEM.,64,0,0,64,58
6001630,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ALLENDALE ELEM.,89,0,0,88,82
6118608,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASCEND,49,0,0,48,47
120188,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE ERES ACADEMY,22,0,0,22,21
6001655,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BELLA VISTA ELEM.,97,0,0,88,93
109819,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BERKLEY MAYNARD ACADEMY,66,0,0,66,56
6002075,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BRIDGES ACADEMY @ MELROSE ELEM.,69,0,0,69,68
6001663,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BROOKFIELD VILLAGE ELEM.,73,0,0,73,69
6001689,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BURCKHALTER ELEM.,38,0,0,38,36
6001648,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CHABOT ELEM.,96,0,1,94,95
130518,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CIVICORPS ELEMENTARY,24,0,1,23,20
6001739,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CLEVELAND ELEM.,71,0,2,69,69
115204,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,COMMUNITY UNITED ELEMENTARY,63,0,0,62,61
114454,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CONSERVATORY OF VOCAL/INSTRUMENTAL ARTS,20,0,0,20,16
6001788,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,COX ACADEMY,85,0,0,85,75
6001754,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CROCKER HIGHLANDS ELEM.,72,0,0,70,64
115600,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND PRIDE ELEMENTARY,75,0,0,75,72
6001812,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EMERSON ELEM.,45,0,0,44,43
102988,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ENCOMPASS ACADEMY,51,0,0,51,42
6002190,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,Esperanza @ STONEHURST ELEM.,51,0,0,51,48
6001820,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRANKLIN ELEM.,139,0,0,139,133
112813,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRED T. KOREMATSU DISCOVER ACADEMY,73,0,0,73,72
6001838,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRUITVALE ELEM.,63,0,0,61,53
115576,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FUTURES ELEMENTARY,48,0,0,47,44
6001846,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GARFIELD ELEM.,101,0,0,101,97
6001853,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLENVIEW ELEM.,80,0,4,72,71
115584,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLOBAL FAMILY,73,0,0,72,72
6001879,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GRASS VALLEY ELEM.,41,0,1,39,39
115618,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GREENLEAF ELEMENTARY,64,0,0,62,59
6001911,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HILLCREST ELEM.,44,1,0,43,42
6057046,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOOVER ELEM.,52,0,0,50,50
6001713,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOWARD (CHARLES P.) ELEM.,28,0,0,28,25
6118616,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,INTERNATIONAL COMMUNITY,75,0,0,74,71
6001895,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"KAISER (HENRY J., JR.) ELEM.",51,0,0,45,44
6072235,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"KING (MARTIN LUTHER, JR.) ELEM.",44,0,0,36,39
6096523,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LA ESCUELITA ELEM.,49,0,0,49,46
6001978,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAFAYETTE ELEM.,45,0,0,44,41
6001986,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAKEVIEW ELEM.,63,0,0,61,57
6001994,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAUREL ELEM.,92,1,0,89,85
6002000,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAZEAR ELEM.,48,0,0,48,46
115592,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LEARNING WITHOUT LIMITS,70,0,0,70,68
130633,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LIGHTHOUSE COMMUNITY CHARTER,48,0,0,48,48
6002018,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LINCOLN ELEM.,119,0,0,119,116
6001929,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANN (HORACE) ELEM.,57,0,0,57,53
6002042,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA COMMUNITY ELEM.,62,0,0,55,60
110247,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA SEED ELEMENTARY,75,0,2,70,69
6002059,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MARKHAM ELEM.,72,0,1,68,68
6001952,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MARSHALL (JOHN) ELEM.,28,0,0,23,23
6002067,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MAXWELL PARK ELEM.,41,0,0,40,40
6118640,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MELROSE LEADERSHIP ACADEMY,48,0,1,42,44
6001945,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MILLER (JOAQUIN) ELEM.,73,0,1,70,58
108803,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MILLSMONT ACADEMY,48,0,1,41,37
6117568,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MONARCH ACADEMY,66,1,0,65,65
6002083,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MONTCLAIR ELEM.,92,0,0,92,91
6001697,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MUNCK (CARL B.) ELEM.,69,0,0,67,67
6001903,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NEW HIGHLAND ELEM.,51,0,0,51,49
6117972,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NORTH OAKLAND COMM. CHARTER SCHO,22,0,1,21,20
6002091,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PARKER ELEM.,24,0,0,20,21
6002109,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PERALTA YEAR AROUND,54,0,0,53,45
6002117,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PIEDMONT AVE. ELEM.,76,0,1,63,64
6002125,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PRESCOTT ELEM.,29,0,0,26,23
110239,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REACH ACADEMY,59,0,0,57,54
6002141,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REDWOOD HEIGHTS ELEM.,53,0,3,50,47
6117394,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REEMS (ERNESTINE C.) ACADEMY OF,34,0,0,34,34
110262,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,RISE COMMUNITY,70,1,0,69,66
110254,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SANKOFA ACADEMY,49,1,0,28,47
6002166,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SANTA FE ELEM.,18,0,0,18,12
6002174,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SEQUOIA ELEM.,74,0,1,70,66
6002182,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SOBRANTE PARK ELEM.,38,0,0,38,37
100792,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,THINK COLLEGE NOW,48,0,0,38,45
6002216,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,THORNHILL ELEM.,70,0,0,69,61
123711,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,VINCENT ACADEMY,39,0,0,39,36
6002273,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,WOODLAND ELEM. (ACORN WOODLAND),46,0,0,46,45
109983,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,WORLD ACADEMY,117,0,0,109,103
6002281,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,BEACH (E.W.) ELEM.,51,1,0,50,49
6002299,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,HAVENS (F.C.) ELEM.,73,1,2,70,67
6002307,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,WILDWOOD AVE. ELEM.,41,0,0,41,41
6002315,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,ALISAL ELEM.,73,0,4,69,69
6001366,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,DONLON ELEM.,143,0,4,139,139
6002323,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,FAIRLANDS ELEM.,104,0,1,103,103
6114318,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,HENRY P. MOHR ELEM.,78,0,0,78,78
6001416,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,LYDIKSEN ELEM.,99,0,3,96,96
6117600,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,PHOEBE APPERSON HEARST ELEM,94,0,4,90,90
6002349,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,VALLEY VIEW ELEM.,112,0,2,110,110
6089361,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,VINTAGE HILLS ELEM.,77,1,3,73,73
6002356,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,WALNUT GROVE ELEM.,113,0,0,113,113
6002372,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,GARFIELD ELEM.,84,0,1,82,83
6002398,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,JEFFERSON ELEM.,110,0,1,109,109
6002414,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MADISON ELEM.,62,0,1,61,61
6002422,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MC KINLEY ELEM.,84,0,1,83,83
6002430,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MONROE ELEM.,57,0,1,56,55
6002448,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,ROOSEVELT ELEM.,84,0,0,84,84
6002455,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,WASHINGTON ELEM.,78,0,0,78,78
6002463,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,WILSON ELEM.,124,0,0,124,124
6002547,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LEANDRO,DAYTON ELEM.,80,1,0,79,78
6002505,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,BAY ELEM.,88,0,0,88,83
