SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6017594,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HILLSIDE ELEMENTARY,53,0,0,52
6017602,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HOBART BOULEVARD ELEMENTARY,98,0,0,98
109298,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HOLLYWOOD PRIMARY CENTER,50,0,0,49
6017610,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HOLMES AVENUE ELEMENTARY,44,0,0,44
109249,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HOOPER AVENUE PRIMARY CENTER,353,0,0,352
6017636,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HOOVER STREET ELEMENTARY,141,0,0,129
6017651,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HUMPHREYS AVENUE ELEMENTARY,132,0,0,98
6017669,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,HUNTINGTON DRIVE ELEMENTARY,52,0,0,47
117937,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ICEF VISTA ELEMENTARY ACADEMY, ,,,
6017685,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,IVANHOE ELEMENTARY,75,0,1,74
6060511,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,JAMES J. MCBRIDE SPECIAL EDUCATION CENTER, ,,,
109355,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,JOHN W. MACK ELEMENTARY,66,0,0,45
122176,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,JUDITH F. BACA ARTS ACADEMY,142,0,0,141
6017701,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KENTER CANYON ELEMENTARY,95,0,16,74
6017719,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KENTWOOD ELEMENTARY,73,0,1,63
109405,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KINGSLEY ELEMENTARY,91,0,2,87
121699,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KIPP EMPOWER ACADEMY,138,0,0,135
127670,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KIPP ILUMINAR ACADEMY,114,0,2,110
117903,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KIPP RAICES ACADEMY,109,0,0,107
129460,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KIPP VIDA PREPARATORY ACADEMY,136,0,0,91
6017750,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LA SALLE AVENUE ELEMENTARY,82,0,0,45
6119093,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LAFAYETTE PARK PRIMARY CENTER,118,0,1,110
109199,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LAKE STREET PRIMARY,135,0,1,134
108928,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LARCHMONT CHARTER,114,0,13,101
6017800,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LATONA AVENUE ELEMENTARY,35,0,0,22
6017818,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LAUREL ELEMENTARY, ,,,
6019483,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LENICIA B. WEEMES ELEMENTARY,113,0,0,20
6110266,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LEO POLITI ELEMENTARY,139,0,0,139
109264,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LEXINGTON AVENUE PRIMARY CENTER,83,0,0,75
6017875,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LILLIAN STREET ELEMENTARY,129,0,0,127
6017909,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOCKWOOD AVENUE ELEMENTARY,49,0,0,49
6017917,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOGAN STREET ELEMENTARY,52,0,0,52
6066278,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOREN MILLER ELEMENTARY,144,0,0,135
6017941,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LORENA STREET ELEMENTARY,74,0,0,74
6017958,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LORETO STREET ELEMENTARY,75,0,0,73
6111512,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOS ANGELES ELEMENTARY,157,0,0,45
124818,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOS ANGELES LEADERSHIP PRIMARY ACADEMY,74,0,0,60
112235,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOS FELIZ CHARTER SCHOOL FOR THE ARTS,71,0,8,59
6017974,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOS FELIZ ELEMENTARY,51,0,0,50
117945,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOU DANTZLER PREPARATORY CHARTER ELEMENTARY, ,,,
6018485,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOVELIA P. FLOURNOY ELEMENTARY,115,0,0,31
6017982,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LOYOLA VILLAGE ELEMENTARY,37,0,0,25
6120810,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MACARTHUR PARK ELEMENTARY SCHOOL FOR THE VISUAL AND PERFORMING ARTS,119,0,0,75
6017990,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MAGNOLIA AVENUE ELEMENTARY,222,0,0,152
6018006,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MAIN STREET ELEMENTARY,165,0,0,150
6018014,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MALABAR STREET ELEMENTARY,112,0,0,17
6018030,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MANHATTAN PLACE ELEMENTARY,68,0,0,54
106922,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MAPLE PRIMARY CENTER,114,0,0,114
6018048,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MAR VISTA ELEMENTARY,96,0,6,84
6018055,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MARIANNA AVENUE ELEMENTARY,52,0,0,44
109256,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MARIPOSA-NABI PRIMARY CENTER,96,0,0,85
6060529,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MARLTON,22,0,0,19
6019061,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MARTIN LUTHER KING JR. ELEMENTARY,105,0,0,72
6018071,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MARVIN ELEMENTARY,124,0,0,107
6018097,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MAYBERRY STREET ELEMENTARY,44,0,2,42
6018105,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MCKINLEY AVENUE ELEMENTARY,137,0,1,136
6018113,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MELROSE AVENUE ELEMENTARY,50,0,1,48
6018139,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MENLO AVENUE ELEMENTARY,86,0,0,51
127977,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,METRO CHARTER, ,,,
6018154,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MICHELTORENA STREET ELEMENTARY,66,0,5,52
6018188,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MIRAMONTE ELEMENTARY,159,0,0,123
6018881,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MORRIS K. HAMASAKI ELEMENTARY,69,0,0,69
6018246,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MT. WASHINGTON ELEMENTARY,82,0,2,25
6018253,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MULTNOMAH STREET ELEMENTARY,75,0,0,61
6018261,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,MURCHISON STREET ELEMENTARY,52,0,0,50
100289,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,N.E.W. ACADEMY OF SCIENCE AND ARTS,83,0,0,83
6018303,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NEVIN AVENUE ELEMENTARY,117,0,0,111
111211,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NEW HEIGHTS CHARTER,63,0,0,62
6018337,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NINETY-FIFTH STREET ELEMENTARY,169,1,0,154
6018345,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NINETY-NINTH STREET ELEMENTARY,93,0,0,52
6018352,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NINETY-SECOND STREET ELEMENTARY,141,0,0,129
6018378,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NINETY-SIXTH STREET ELEMENTARY,139,0,1,129
6018386,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NINETY-THIRD STREET ELEMENTARY,174,0,0,152
6104814,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NINTH STREET ELEMENTARY,77,0,0,53
6018402,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NORA STERRY ELEMENTARY,58,0,1,48
6018410,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NORMANDIE AVENUE ELEMENTARY,164,0,0,149
6018436,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NORWOOD STREET ELEMENTARY,97,0,0,14
102335,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,OCEAN CHARTER,79,0,45,34
109181,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,OLYMPIC PRIMARY CENTER,180,0,0,32
6018469,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ONE HUNDRED EIGHTEENTH STREET,118,0,0,104
6018519,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ONE HUNDRED NINTH STREET ELEMENTARY,98,0,0,25
6018535,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ONE HUNDRED SEVENTH STREET ELEMENTARY,178,0,0,109
6018543,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ONE HUNDRED SIXTEENTH STREET ELEMENTARY,101,0,0,101
6018568,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ONE HUNDRED TWELFTH STREET ELEMENTARY,73,0,0,72
6018576,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ONE HUNDRED TWENTY-SECOND STREET ELEMENTARY,85,0,0,85
6097927,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,OPEN CHARTER MAGNET,44,0,1,40
6018618,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,OVERLAND AVENUE ELEMENTARY,87,0,0,69
6018659,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,PALMS ELEMENTARY,74,0,0,70
122630,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,PARA LOS NINOS - EVELYN THURMAN GRATTS PRIMARY,192,0,0,174
6120489,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,PARA LOS NINOS CHARTER,61,0,0,52
6018683,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,PARMELEE AVENUE ELEMENTARY,160,0,0,116
102426,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,PUC MILAGRO CHARTER,48,0,0,38
6120471,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,PUENTE CHARTER,108,0,0,108
6018816,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,QUEEN ANNE PLACE ELEMENTARY,67,0,0,50
122127,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,QUINCY JONES ELEMENTARY,66,0,0,66
6018824,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RAMONA ELEMENTARY,101,0,0,73
6018840,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RAYMOND AVENUE ELEMENTARY,89,0,0,35
121103,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RFK COMMUNITY SCHOOLS - AMBASSADOR SCHOOL - GLOBAL EDUCATION,62,0,0,54
119685,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RFK COMMUNITY SCHOOLS-NEW OPEN WORLD ACADEMY K-12,90,0,0,41
119693,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RFK COMMUNITY SCHOOLS-UCLA COMMUNITY K-12,68,0,0,56
109330,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RICARDO LIZARRAGA ELEMENTARY,123,0,0,118
101618,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RICHARD RIORDAN PRIMARY CENTER,124,0,0,120
6018873,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RICHLAND AVENUE ELEMENTARY,35,0,0,26
6018915,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RITTER ELEMENTARY,64,0,0,14
6071443,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ROBERT F. KENNEDY ELEMENTARY,63,0,0,62
6018949,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ROCKDALE ELEMENTARY,57,0,0,36
6018964,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ROSCOMARE ROAD ELEMENTARY,93,0,1,84
6018980,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ROSEWOOD AVENUE ELEMENTARY,52,0,2,49
6018998,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ROWAN AVENUE ELEMENTARY,118,0,0,118
6019004,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RUSSELL ELEMENTARY,137,0,0,109
126375,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SALLY RIDE ELEMENTARY: A SMART ACADEMY,104,0,0,89
6019046,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SAN PASCUAL AVENUE ELEMENTARY,44,0,0,34
6019053,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SAN PEDRO STREET ELEMENTARY,158,0,0,158
6019079,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SANTA MONICA BOULEVARD COMMUNITY CHARTER,144,0,0,135
6066286,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SATURN STREET ELEMENTARY,66,0,1,58
6019095,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SECOND STREET ELEMENTARY,58,0,0,49
6019103,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SELMA AVENUE ELEMENTARY,25,0,0,22
6019137,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SEVENTY-FIFTH STREET ELEMENTARY,162,0,0,157
6019145,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SEVENTY-FOURTH STREET ELEMENTARY,81,0,0,67
6019160,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SHENANDOAH STREET ELEMENTARY,112,0,0,99
6019178,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SHERIDAN STREET ELEMENTARY, ,,,
6019202,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SHORT AVENUE ELEMENTARY,48,0,1,11
6019210,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SIERRA PARK ELEMENTARY,66,0,0,63
6019228,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SIERRA VISTA ELEMENTARY,39,0,3,34
6019236,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SIXTH AVENUE ELEMENTARY,110,0,2,80
6019244,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SIXTY-EIGHTH STREET ELEMENTARY,146,0,0,94
6019251,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SIXTY-FIRST STREET ELEMENTARY,71,0,0,56
6019269,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SIXTY-SIXTH STREET ELEMENTARY,158,0,0,157
6019277,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SOLANO AVENUE ELEMENTARY,40,0,0,33
6019285,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SOTO STREET ELEMENTARY,44,0,0,31
6019293,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SOUTH PARK ELEMENTARY,164,0,0,164
126417,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SOUTH REGION ELEMENTARY 10,78,0,0,56
126425,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SOUTH REGION ELEMENTARY 11,113,0,0,41
117226,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SPECIAL EDUCATION-INFANT PRESCHOOL PROGRAM, ,,,
6104822,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SUNRISE ELEMENTARY,39,0,0,36
106427,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,SYNERGY CHARTER ACADEMY,52,0,0,52
6019467,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,THIRD STREET ELEMENTARY,125,0,0,102
6019475,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,THIRTY-SECOND STREET USC PERFORMING ARTS,44,0,1,42
6019509,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,TOLAND WAY ELEMENTARY,61,0,0,60
6016810,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,TOM BRADLEY GLOBAL AWARENESS MAGNET, ,,,
6019582,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,TWENTIETH STREET ELEMENTARY,112,0,0,110
6019590,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,TWENTY-EIGHTH STREET ELEMENTARY,126,0,0,113
6019608,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,TWENTY-FOURTH STREET ELEMENTARY,130,0,0,99
6019624,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,UNION AVENUE ELEMENTARY,187,0,0,157
6019632,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,UTAH STREET ELEMENTARY,44,0,0,39
6019657,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VALLEY VIEW ELEMENTARY,37,1,0,31
6019681,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VAN NESS AVENUE ELEMENTARY,33,0,0,28
6019731,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VERMONT AVENUE ELEMENTARY,115,0,0,114
6019749,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VERNON CITY ELEMENTARY,45,0,0,45
6117048,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VIEW PARK PREPARATORY ACCELERATED CHARTER, ,,,
6019772,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VINE STREET ELEMENTARY,81,0,0,77
6019806,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VIRGINIA ROAD ELEMENTARY,68,0,1,44
6019814,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WADSWORTH AVENUE ELEMENTARY,149,0,0,103
6019822,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WALGROVE AVENUE ELEMENTARY,63,0,0,13
6019830,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WARNER AVENUE ELEMENTARY,110,0,1,93
109306,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WASHINGTON PRIMARY CENTER,126,0,0,126
6114912,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WATTS LEARNING CENTER,62,0,0,62
6019848,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WEIGAND AVENUE ELEMENTARY,108,0,0,79
6019863,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WEST ATHENS ELEMENTARY,148,0,0,87
6019889,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WEST VERNON AVENUE ELEMENTARY,138,0,0,118
6019905,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTERN AVENUE ELEMENTARY,80,0,0,54
6019921,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTPORT HEIGHTS ELEMENTARY,72,0,3,64
121012,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTSIDE INNOVATIVE SCHOOL HOUSE,88,0,1,86
6019939,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTWOOD CHARTER ELEMENTARY,186,0,3,114
6017446,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILLIAM R. ANTON ELEMENTARY,131,0,1,127
6019970,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILSHIRE CREST ELEMENTARY,47,0,0,38
112003,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILSHIRE PARK ELEMENTARY,85,0,0,22
6019988,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILTON PLACE ELEMENTARY,114,0,0,77
6019996,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WINDSOR HILLS MATH SCIENCE,69,0,0,44
122150,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WISDOM ELEMENTARY,146,0,2,144
6020010,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WONDERLAND AVENUE ELEMENTARY,68,0,2,56
6020028,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WOODCREST ELEMENTARY,151,0,0,132
6119929,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,XINAXCALMECAC ACADEMIA SEMILLAS DEL PUEBLO,31,0,2,19
6017677,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,YES ACADEMY,125,0,0,114
6020069,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,YORKDALE ELEMENTARY,47,1,0,43
129825,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MAYWOOD,CLEMENTE CHARTER,43,0,0,40
6089700,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MAYWOOD,FISHBURN AVENUE ELEMENTARY,99,0,0,91
6017545,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MAYWOOD,HELIOTROPE AVENUE ELEMENTARY,130,0,0,128
6017925,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MAYWOOD,LOMA VISTA ELEMENTARY,139,0,0,138
109363,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MAYWOOD,MAYWOOD ELEMENTARY, ,,,
6019038,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MISSION HILLS,SAN JOSE STREET ELEMENTARY,105,0,0,102
6018931,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MONTEREY PARK,ROBERT HILL LANE ELEMENTARY,66,0,0,42
122234,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,CARLOS SANTANA ARTS ACADEMY,95,0,0,95
6017289,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,GLEDHILL STREET ELEMENTARY,58,1,0,49
6017776,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,LANGDON AVENUE ELEMENTARY,107,0,0,100
6017792,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,LASSEN ELEMENTARY,92,0,0,88
6018089,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,MAYALL STREET ELEMENTARY,87,0,0,86
6018394,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,NOBLE AVENUE ELEMENTARY,159,0,0,154
6018691,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,PARTHENIA STREET ELEMENTARY,133,1,0,131
6018758,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,PLUMMER ELEMENTARY,175,0,1,171
109371,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,ROSA PARKS LEARNING CENTER,153,0,1,148
122754,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,VALLEY CHARTER ELEMENTARY,44,0,5,39
6019798,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,VINTAGE MATH SCIENCE TECHNOLOGY MAGNET,26,0,0,26
6015879,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,ARMINTA STREET ELEMENTARY,78,0,1,72
