SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1 ,MMR2
6000962,ALAMEDA,PUBLIC,61192,FAIRVIEW ELEM.,60,0,0,60,55
6113815,ALAMEDA,PUBLIC,61192,FAITH RINGGOLD ELEM.,16,0,0,16,16
6000988,ALAMEDA,PUBLIC,61192,GLASSBROOK ELEM.,102,0,0,100,95
6000996,ALAMEDA,PUBLIC,61192,HARDER ELEM.,102,0,0,102,102
6001044,ALAMEDA,PUBLIC,61192,LONGWOOD ELEM.,102,0,0,102,86
6001093,ALAMEDA,PUBLIC,61192,PALMA CEIA ELEM.,81,0,0,80,76
6001101,ALAMEDA,PUBLIC,61192,PARK ELEM.,101,0,0,100,94
6001127,ALAMEDA,PUBLIC,61192,RUUS ELEM.,92,0,0,92,89
6001135,ALAMEDA,PUBLIC,61192,SCHAFER PARK ELEM.,61,0,0,61,57
6001176,ALAMEDA,PUBLIC,61192,SOUTHGATE ELEM.,73,0,0,70,67
111815,ALAMEDA,PUBLIC,61192,STONEBRAE ELEMENTARY,151,0,2,149,139
6062160,ALAMEDA,PUBLIC,61192,STROBRIDGE ELEM.,94,0,3,90,79
6001192,ALAMEDA,PUBLIC,61192,TREEVIEW ELEM.,111,0,0,111,110
6104566,ALAMEDA,PUBLIC,61192,TYRRELL ELEMENTARY,83,0,0,82,76
6117543,ALAMEDA,PUBLIC,61200,ALTAMONT CREEK ELEM.,82,0,1,81,81
6071906,ALAMEDA,PUBLIC,61200,ARROYO SECO ELEM.,118,0,0,118,116
6001283,ALAMEDA,PUBLIC,61200,JACKSON AVE. ELEM.,96,0,0,96,96
6110332,ALAMEDA,PUBLIC,61200,LEO CROCE ELEM.,111,0,1,110,110
6001317,ALAMEDA,PUBLIC,61200,MARYLIN AVE. ELEM.,99,0,0,99,99
6001291,ALAMEDA,PUBLIC,61200,MITCHELL (JOE) ELEM.,71,2,2,67,67
6001234,ALAMEDA,PUBLIC,61200,PORTOLA (DON GASPAR D,73,0,0,73,72
