SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE§,MMR1 ,2 MMR‡ 
6089619,ALAMEDA,PUBLIC,61176,WARWICK ELEM.,126,1,1,124,123
6106983,ALAMEDA,PUBLIC,61176,WEIBEL ELEM.,108,0,1,107,106
6000889,ALAMEDA,PUBLIC,61192,BOWMAN ELEM.,77,0,0,77,74
6000905,ALAMEDA,PUBLIC,61192,BURBANK ELEM.,95,0,0,95,94
6000913,ALAMEDA,PUBLIC,61192,CHERRYLAND ELEM.,117,0,0,116,106
6000921,ALAMEDA,PUBLIC,61192,EAST AVE. ELEM.,63,0,1,60,58
6001051,ALAMEDA,PUBLIC,61192,EDEN (LORIN A.) ELEM.,91,0,0,91,89
6090583,ALAMEDA,PUBLIC,61192,EDEN GARDENS ELEM.,98,0,0,98,91
6000947,ALAMEDA,PUBLIC,61192,ELDRIDGE ELEM.,85,0,0,85,85
6000962,ALAMEDA,PUBLIC,61192,FAIRVIEW ELEM.,102,0,0,102,99
6113815,ALAMEDA,PUBLIC,61192,FAITH RINGGOLD ELEM.,20,0,1,19,17
6000988,ALAMEDA,PUBLIC,61192,GLASSBROOK ELEM.,97,0,0,96,90
6000996,ALAMEDA,PUBLIC,61192,HARDER ELEM.,84,0,0,84,83
6001044,ALAMEDA,PUBLIC,61192,LONGWOOD ELEM.,97,0,0,97,92
6001093,ALAMEDA,PUBLIC,61192,PALMA CEIA ELEM.,77,0,0,76,69
6001101,ALAMEDA,PUBLIC,61192,PARK ELEM.,116,0,0,116,111
6001127,ALAMEDA,PUBLIC,61192,RUUS ELEM.,99,0,0,99,90
6001135,ALAMEDA,PUBLIC,61192,SCHAFER PARK ELEM.,65,0,0,65,65
6001176,ALAMEDA,PUBLIC,61192,SOUTHGATE ELEM.,93,0,0,93,91
111815,ALAMEDA,PUBLIC,61192,STONEBRAE ELEMENTARY,117,0,0,117,112
6062160,ALAMEDA,PUBLIC,61192,STROBRIDGE ELEM.,110,0,0,110,102
6001192,ALAMEDA,PUBLIC,61192,TREEVIEW ELEM.,107,0,0,107,106
6104566,ALAMEDA,PUBLIC,61192,TYRRELL ELEMENTARY,116,0,0,113,108
6117543,ALAMEDA,PUBLIC,61200,ALTAMONT CREEK ELEM.,107,0,3,104,103
6071906,ALAMEDA,PUBLIC,61200,ARROYO SECO ELEM.,124,1,0,121,122
6110332,ALAMEDA,PUBLIC,61200,CROCE (LEO) ELEM.,89,0,2,87,86
6001283,ALAMEDA,PUBLIC,61200,JACKSON AVE. ELEM.,95,0,1,94,94
6001234,ALAMEDA,PUBLIC,61200,Junction K-8,58,0,2,56,55
6001317,ALAMEDA,PUBLIC,61200,MARYLIN AVE. ELEM.,92,0,0,92,92
6001291,ALAMEDA,PUBLIC,61200,MITCHELL (JOE) ELEM.,53,0,1,51,44
6089338,ALAMEDA,PUBLIC,61200,RANCHO LAS POSITAS EL,68,0,2,63,65
6001259,ALAMEDA,PUBLIC,61200,SMITH (EMMA C.) ELEM.,93,0,1,92,92
6097661,ALAMEDA,PUBLIC,61200,SUNSET ELEM.,119,1,0,113,111
